154,分析画面,進捗分析,利益進捗率,L4b,B,画面間,計算項目,複数種類混在,演算結果と予算設定の組合せ,営業利益累計÷目標利益×100,SUM(当月実績.営業利益) ÷ 予算設定.予算金額 × 100,当月実績.営業利益,"monthly_budgets.value（予算設定画面）, monthly_budgets.profit",-,ユーザー入力（予算設定）,当月実績.営業利益,-,monthly_budgets.value（予算設定画面） / monthly_budgets.profit → 当月実績.営業利益 → 進捗分析.利益進捗率,演算検証済,インプット元: 当月実績.営業利益,目標利益が月次か年次か不明,目標期間の定義を確認必要,実績算出・分析画面,実績算出・分析,実績値の算出と予実対比の分析表示。定義元かつ分析表示。
155,分析画面,進捗分析,売上進捗率,L4a,A,画面間,計算項目,複数種類混在,POS売上と予算設定の組合せ,売上累計÷目標×100,SUM(店舗別サマリー.売上（税抜）) ÷ 店舗別サマリー.売上目標 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）","店舗別サマリー.売上（税抜）, 店舗別サマリー.売上目標",店舗別サマリー,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 進捗分析.売上進捗率,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出,実績値を算出（定義元）。予実差額や各種比率の算出に使用。
156,分析画面,進捗分析,達成率,L4a,B,画面間,計算項目,複数種類混在,POS売上と予算設定の組合せ,実績÷目標×100,当月実績.売上（税抜） ÷ 予算設定.予算金額 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）",当月実績.売上（税抜）,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 進捗分析.達成率,スキーマ検証済,-,-,-,実績算出・分析画面,実績算出・分析,実績値の算出と予実対比の分析表示。定義元かつ分析表示。
157,分析画面,進捗分析,進捗率比較（前月）,L4a,B,画面間,計算項目,複数種類混在,POS売上と予算設定の組合せ,前月比計算,当月実績.売上（税抜） ÷ 予算設定.予算金額 × 100 (前月データ),-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）",当月実績.売上（税抜）,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 進捗分析.進捗率比較(前月),スキーマ検証済,-,前月データの取得方法(オフセット or 日付指定)が不明,前月データ参照ロジックを確認必要,実績算出・分析画面,実績算出・分析,実績値の算出と予実対比の分析表示。定義元かつ分析表示。
158,分析画面,進捗分析,進捗率比較（前々月）,L4a,B,画面間,計算項目,複数種類混在,POS売上と予算設定の組合せ,前々月比計算,当月実績.売上（税抜） ÷ 予算設定.予算金額 × 100 (前々月データ),-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）",当月実績.売上（税抜）,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 進捗分析.進捗率比較(前々月),スキーマ検証済,-,前々月データの取得方法が不明,前々月データ参照ロジックを確認必要,実績算出・分析画面,実績算出・分析,実績値の算出と予実対比の分析表示。定義元かつ分析表示。

■ 一覧表示画面 (36指標 / 7画面)
No,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,演算範囲,データソース区分,指標タイプ,指標タイプ詳細,演算ロジック,演算式詳細,中間画面名.画面指標名,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,判断,AI推測の理由,不明点,改善,画面カテゴリ,指標区分,指標区分の説明
159,一覧表示画面,ラベル一覧,店舗ID,L2,D,-,店舗マスタ（設定）,ラクミー設定マスタ単独,ラクミー設定マスタから取得,マスタ参照,shops.id,-,shops.id,-,マスタ参照,-,-,shops.id → ラベル一覧.店舗ID,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,一覧表示画面,一覧表示,ラベルデータの一覧表示
160,一覧表示画面,ラベル一覧,店舗名,L2,D,-,店舗マスタ（設定）,ラクミー設定マスタ単独,ラクミー設定マスタから取得,マスタ参照,shops.name,-,shops.name,-,マスタ参照,-,-,shops.name → ラベル一覧.店舗名,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,一覧表示画面,一覧表示,ラベルデータの一覧表示
161,一覧表示画面,ラベル一覧,ラベル名,L2,D,-,ラベルマスタ（設定）,ラクミー設定マスタ単独,ラクミー設定マスタから取得,マスタ参照,shop_labels.label_name,-,shop_labels.label_name,-,マスタ参照,-,-,shop_labels.label_name → ラベル一覧.ラベル名,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,一覧表示画面,一覧表示,ラベルデータの一覧表示
162,一覧表示画面,商品仕入単価,アイテム,L0,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,detail_list.item_name,-,infomart_order_details.item_name,detail_list.item_name,-,[外部]detail_list.item_name,平均単価推移.仕入商品ラベル,detail_list.item_name → infomart_order_details.item_name → 商品仕入単価.アイテム,外部連携検証済,detail_list.item_name → infomart_transactions.item_name,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
163,一覧表示画面,商品仕入単価,金額（税抜）,L0,C,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(detail_list.price) GROUP BY item_name,-,infomart_order_details.price,detail_list.price,-,[外部]detail_list.price,商品仕入単価.単価,detail_list.price → infomart_order_details.price → 商品仕入単価.金額税抜,外部連携検証済,detail_list.price → infomart_transactions.price,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
164,一覧表示画面,商品仕入単価,数量,L0,C,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(detail_list.num) GROUP BY item_name,-,infomart_order_details.num,detail_list.num,-,[外部]detail_list.num,"商品仕入単価.単価, 平均単価推移.数量",detail_list.num → infomart_order_details.num → 商品仕入単価.数量,外部連携検証済,detail_list.num → infomart_transactions.num,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
165,一覧表示画面,商品仕入単価,単価,L1,C,画面内,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,商品仕入単価.金額税抜 ÷ 商品仕入単価.数量,-,"infomart_order_details.price, infomart_order_details.num","detail_list.price, detail_list.num",-,商品仕入単価.数量,平均単価推移.平均単価,detail_list.price / detail_list.num → infomart_order_details.price / infomart_order_details.num → 商品仕入単価.単価,外部連携検証済,detail_list.price → infomart_transactions.price,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
166,一覧表示画面,棚卸詳細,実施日,L3,D,-,費用・棚卸（入力）,ユーザー入力単独,棚卸画面での直接入力,日付,inventories.date,-,inventories.date,-,ユーザー入力（棚卸）,-,-,inventories.date → 棚卸詳細.実施日,設定/入力検証済,データソース: 費用・棚卸（入力）,-,-,一覧表示画面,一覧表示,棚卸データの一覧表示
167,一覧表示画面,棚卸詳細,仕入れ先,L3,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.client_name,-,infomart_transactions.client_name,-,インフォマート（仕入）,-,-,infomart_transactions.client_name → 棚卸詳細.仕入れ先,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,棚卸データの一覧表示
168,一覧表示画面,棚卸詳細,カテゴリ,L3,D,-,ラベルマスタ（設定）,ラクミー設定マスタ単独,ラベルマスタから取得,マスタ参照,labels.name,-,labels.name,-,マスタ参照,-,-,labels.name → 棚卸詳細.カテゴリ,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,一覧表示画面,一覧表示,棚卸データの一覧表示
169,一覧表示画面,棚卸詳細,ラベル,L3,D,-,ラベルマスタ（設定）,ラクミー設定マスタ単独,ラベルマスタから取得,マスタ参照,labels.name,-,labels.name,-,マスタ参照,-,-,labels.name → 棚卸詳細.ラベル,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,一覧表示画面,一覧表示,棚卸データの一覧表示
170,一覧表示画面,棚卸詳細,在庫数量,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,棚卸画面での直接入力,入力値,inventory_items.num,-,inventory_items.num,-,ユーザー入力（棚卸）,-,-,inventory_items.num → 棚卸詳細.在庫数量,設定/入力検証済,データソース: 費用・棚卸（入力）,-,-,一覧表示画面,一覧表示,棚卸データの一覧表示
171,一覧表示画面,棚卸詳細,商品単価,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,棚卸画面での直接入力,入力値,inventory_items.price,-,inventory_items.price,-,ユーザー入力（棚卸）,-,-,inventory_items.price → 棚卸詳細.商品単価,設定/入力検証済,データソース: 費用・棚卸（入力）,-,-,一覧表示画面,一覧表示,棚卸データの一覧表示
172,一覧表示画面,棚卸詳細,小計,L1,C,画面内,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,棚卸詳細.在庫数量 × 棚卸詳細.商品単価,-,"inventory_items.num, inventory_items.price",-,画面内演算,-,-,inventory_items.num × inventory_items.price → 棚卸詳細.小計,演算検証済,在庫数量×商品単価,-,-,一覧表示画面,一覧表示,棚卸データの一覧表示
173,一覧表示画面,納品書管理,納品書ID,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.id,-,infomart_transactions.id,-,インフォマート（仕入）,-,-,infomart_transactions.id → 納品書管理.納品書ID,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書データの一覧表示
174,一覧表示画面,納品書管理,受付日付,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.received_at,-,infomart_transactions.received_at,-,インフォマート（仕入）,-,-,infomart_transactions.received_at → 納品書管理.受付日付,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書データの一覧表示
175,一覧表示画面,納品書管理,納品日,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.delivery_date,-,infomart_transactions.delivery_date,-,インフォマート（仕入）,-,-,infomart_transactions.delivery_date → 納品書管理.納品日,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書データの一覧表示
176,一覧表示画面,納品書管理,店舗名,L2,D,-,店舗マスタ（設定）,ラクミー設定マスタ単独,店舗マスタから取得,マスタ参照,shops.name,-,shops.name,-,マスタ参照,-,-,shops.name → 納品書管理.店舗名,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,一覧表示画面,一覧表示,納品書データの一覧表示
177,一覧表示画面,納品書管理,処理ステータス,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.status,-,infomart_transactions.status,-,インフォマート（仕入）,-,-,infomart_transactions.status → 納品書管理.処理ステータス,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書データの一覧表示
178,一覧表示画面,納品書管理,発注先,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.client_name,-,infomart_transactions.client_name,-,インフォマート（仕入）,-,-,infomart_transactions.client_name → 納品書管理.発注先,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書データの一覧表示
179,一覧表示画面,納品書詳細,納品書ID,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.id,-,infomart_transactions.id,-,インフォマート（仕入）,-,-,infomart_transactions.id → 納品書詳細.納品書ID,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書詳細データの一覧表示
180,一覧表示画面,納品書詳細,発注者,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.orderer_name,-,infomart_transactions.orderer_name,-,インフォマート（仕入）,-,-,infomart_transactions.orderer_name → 納品書詳細.発注者,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書詳細データの一覧表示
181,一覧表示画面,納品書詳細,受注者,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.client_name,-,infomart_transactions.client_name,-,インフォマート（仕入）,-,-,infomart_transactions.client_name → 納品書詳細.受注者,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書詳細データの一覧表示
182,一覧表示画面,納品書詳細,処理ステータス,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.status,-,infomart_transactions.status,-,インフォマート（仕入）,-,-,infomart_transactions.status → 納品書詳細.処理ステータス,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書詳細データの一覧表示
183,一覧表示画面,納品書詳細,納品日,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.delivery_date,-,infomart_transactions.delivery_date,-,インフォマート（仕入）,-,-,infomart_transactions.delivery_date → 納品書詳細.納品日,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書詳細データの一覧表示

■ ダッシュボード表示画面 (40指標 / 4画面)
No,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,演算範囲,データソース区分,指標タイプ,指標タイプ詳細,演算ロジック,演算式詳細,中間画面名.画面指標名,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,判断,AI推測の理由,不明点,改善,画面カテゴリ,指標区分,指標区分の説明
184,ダッシュボード表示画面,主要KPI指標,坪月商,L4a,B,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,当月実績.売上（税抜） ÷ 店舗マスタ.坪数,-,"head_office_connected_service_sales_logs.sales_excluded, shops.total_area_num",ZTOTAL.sales_excluded,POS売上（日別集計）,当月実績.売上（税抜）,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / shops.total_area_num → 主要KPI指標.坪月商,スキーマ検証済,-,坪数マスタの取得元テーブル未確認,店舗マスタに坪数カラムがあるか確認必要,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 店舗マスタ, 当月実績）。"
185,ダッシュボード表示画面,主要KPI指標,営業利益率,L4b,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,(当月実績.売上（税抜） - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費) ÷ 当月実績.売上（税抜） × 100,当月実績.営業利益,z_totals.sales_excluded,-,-,"当月実績.営業利益, 当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,z_totals.sales_excluded → 当月実績.営業利益 → 主要KPI指標.営業利益率,演算検証済,インプット元: 当月実績.営業利益,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 当月実績）。"
186,ダッシュボード表示画面,主要KPI指標,家賃比率,L4a,B,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,月次費用入力.金額(家賃) ÷ 当月実績.売上（税抜） × 100,-,"monthly_costs.value, head_office_connected_service_sales_logs.sales_excluded",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（費用設定）",当月実績.売上（税抜）,-,ZTOTAL.sales_excluded → monthly_costs.value / head_office_connected_service_sales_logs.sales_excluded → 主要KPI指標.家賃比率,スキーマ検証済,-,家賃の費目IDが固定かどうか未確認,費目マスタで家賃IDを確認必要,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 当月実績, 月次費用入力）。"
187,ダッシュボード表示画面,主要KPI指標,ROI,L4b,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,当月実績.営業利益 ÷ 予算設定.予算金額 × 100,当月実績.営業利益,"monthly_budgets.value（予算設定画面）, monthly_budgets.profit",-,ユーザー入力（予算設定）,当月実績.営業利益,-,monthly_budgets.value（予算設定画面） / monthly_budgets.profit → 当月実績.営業利益 → 主要KPI指標.ROI,演算検証済,インプット元: 当月実績.営業利益,投資額=予算金額の解釈が正しいか未確認,ROIの定義(分母)を仕様書で確認必要,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予算設定, 当月実績）。"
188,ダッシュボード表示画面,店舗ラベル別サマリー,営業利益,L4a,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,店舗ラベル別サマリー.売上（税抜） - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,-,"head_office_connected_service_sales_logs.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs, monthly_costs.value","ZTOTAL.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs","POS売上（日別集計）, インフォマート（仕入）, 勤怠（KOT/ジョブカン）, ユーザー入力（費用設定）","店舗ラベル別サマリー.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,ZTOTAL.sales_excluded / tax_excluded_total / head_office_connected_service_labor_costs_logs.labor_costs → head_office_connected_service_sales_logs.sales_excluded / infomart_transactions.total_tax_excluded / head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 店舗ラベル別サマリー.営業利益,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 店舗ラベル別サマリー）。"
189,ダッシュボード表示画面,店舗ラベル別サマリー,売上（税抜）,L0,A,-,POS（売上・客数）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(ZTOTAL.sales_excluded) GROUP BY shop_label,-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 店舗ラベル別サマリー.売上(税抜),スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: [外部]ZTOTAL）。
190,ダッシュボード表示画面,店舗ラベル別サマリー,売上目標,L3,A,-,予算設定（入力）,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.value,-,monthly_budgets.profit,-,ユーザー入力（予算設定）,[入力]monthly_budgets.profit,"店舗ラベル別サマリー.売上進捗率, 店舗ラベル別サマリー.売上達成率",monthly_budgets.profit → 店舗ラベル別サマリー.売上目標,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: [入力]monthly_budgets）。
191,ダッシュボード表示画面,店舗ラベル別サマリー,売上達成率,L4a,A,画面内,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,店舗ラベル別サマリー.売上（税抜） ÷ 店舗ラベル別サマリー.売上目標 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）","店舗ラベル別サマリー.売上（税抜）, 店舗ラベル別サマリー.売上目標",-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 店舗ラベル別サマリー.売上達成率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: 店舗ラベル別サマリー）。
192,ダッシュボード表示画面,店舗ラベル別サマリー,売上進捗率,L4a,A,画面内,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,SUM(店舗ラベル別サマリー.売上（税抜）) ÷ 店舗ラベル別サマリー.売上目標 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）","店舗ラベル別サマリー.売上（税抜）, 店舗ラベル別サマリー.売上目標",-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 店舗ラベル別サマリー.売上進捗率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: 店舗ラベル別サマリー）。
193,ダッシュボード表示画面,店舗ラベル別サマリー,FD仕入率,L1,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,予実対比.FD仕入 ÷ 店舗ラベル別サマリー.売上（税抜） × 100,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, ZTOTAL.sales_excluded","インフォマート（仕入）, POS売上（日別集計）","予実対比.FD仕入, 店舗ラベル別サマリー.売上（税抜）",-,tax_excluded_total / ZTOTAL.sales_excluded → infomart_transactions.total_tax_excluded / head_office_connected_service_sales_logs.sales_excluded → 店舗ラベル別サマリー.FD仕入率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 店舗ラベル別サマリー）。"
194,ダッシュボード表示画面,店舗ラベル別サマリー,人件費率,L1,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,予実対比.人件費 ÷ 店舗ラベル別サマリー.売上（税抜） × 100,-,"head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs, head_office_connected_service_sales_logs.sales_excluded","head_office_connected_service_labor_costs_logs.labor_costs, ZTOTAL.sales_excluded","勤怠（KOT/ジョブカン）, POS売上（日別集計）","予実対比.人件費, 店舗ラベル別サマリー.売上（税抜）",-,head_office_connected_service_labor_costs_logs.labor_costs / ZTOTAL.sales_excluded → head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs / head_office_connected_service_sales_logs.sales_excluded → 店舗ラベル別サマリー.人件費率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 店舗ラベル別サマリー）。"
195,ダッシュボード表示画面,店舗別サマリー,営業利益,L4a,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,店舗別サマリー.売上（税抜） - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,-,"head_office_connected_service_sales_logs.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs, monthly_costs.value","ZTOTAL.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs","POS売上（日別集計）, インフォマート（仕入）, 勤怠（KOT/ジョブカン）, ユーザー入力（費用設定）","店舗別サマリー.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費","当月実績.営業利益, 年間予実対比.営業利益",ZTOTAL.sales_excluded / tax_excluded_total / head_office_connected_service_labor_costs_logs.labor_costs → head_office_connected_service_sales_logs.sales_excluded / infomart_transactions.total_tax_excluded / head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 店舗別サマリー.営業利益,スキーマ検証済,-,店舗別の経費按分ロジックが不明,店舗別経費の按分方法を確認必要,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 店舗別サマリー）。"
196,ダッシュボード表示画面,店舗別サマリー,売上（税抜）,L0,A,-,POS（売上・客数）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(ZTOTAL.sales_excluded) GROUP BY shop_id,-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,[外部]ZTOTAL.sales_excluded,"ABC分析.売上（税抜）, 店舗別サマリー.FD仕入率, 店舗別サマリー.人件費率, 店舗別サマリー.営業利益, 店舗別サマリー.売上進捗率, 店舗別サマリー.売上達成率, 当月実績.売上（税抜）, 日次レポート.売上（税抜）, 日次推移.売上（税抜）, 進捗分析.売上進捗率",ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 店舗別サマリー.売上(税抜),スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: [外部]ZTOTAL）。
197,ダッシュボード表示画面,店舗別サマリー,売上目標,L3,A,-,予算設定（入力）,予算設定参照,月次予算設定で設定した予算値を参照,マスタ参照,monthly_budgets.value,-,monthly_budgets.profit,-,ユーザー入力（予算設定）,[入力]monthly_budgets.profit,"店舗別サマリー.売上進捗率, 店舗別サマリー.売上達成率, 進捗分析.売上進捗率",monthly_budgets.profit → 店舗別サマリー.売上目標,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: [入力]monthly_budgets）。
198,ダッシュボード表示画面,店舗別サマリー,売上達成率,L4a,A,画面内,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,店舗別サマリー.売上（税抜） ÷ 店舗別サマリー.売上目標 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）","店舗別サマリー.売上（税抜）, 店舗別サマリー.売上目標",-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 店舗別サマリー.売上達成率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: 店舗別サマリー）。
199,ダッシュボード表示画面,店舗別サマリー,売上進捗率,L4a,A,画面内,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,SUM(店舗別サマリー.売上（税抜）) ÷ 店舗別サマリー.売上目標 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）","店舗別サマリー.売上（税抜）, 店舗別サマリー.売上目標",進捗分析.売上進捗率,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 店舗別サマリー.売上進捗率,スキーマ検証済,-,累計期間(月初〜当日 or 年初〜当月)が不明,累計期間の定義を確認必要,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: 店舗別サマリー）。
200,ダッシュボード表示画面,店舗別サマリー,FD仕入率,L1,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,予実対比.FD仕入 ÷ 店舗別サマリー.売上（税抜） × 100,-,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded","infomart_transactions.total_tax_excluded, ZTOTAL.sales_excluded","インフォマート（仕入）, POS売上（日別集計）","予実対比.FD仕入, 店舗別サマリー.売上（税抜）",当月実績.FD仕入率,tax_excluded_total / ZTOTAL.sales_excluded → infomart_transactions.total_tax_excluded / head_office_connected_service_sales_logs.sales_excluded → 店舗別サマリー.FD仕入率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 店舗別サマリー）。"
