次数,ターゲット,画面タイトル,画面タイプ,1次指標名,2次指標名,3次指標名,4次指標名,5次指標名,計算レイヤー,スコープ,指標タイプ,指標タイプ詳細（定義）,演算ロジック,演算式詳細,経営重要度,データソース区分,機能説明,ラクミーテーブル名.カラム名,データ負荷レベル,スナップショット対象,依存先指標,被参照指標,判断基準・閾値目安,データ基盤要件,V69No/戦略No
4次,本部管理者,年間予実対比（サマリー）,ダッシュボード表示画面,,,,客単価（ランチ）,,L3-S,単店舗(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,時間帯別売上分析.ランチ売上（税抜） ÷ 時間帯別売上分析.客数,A,計算項目,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers",中,×,"時間帯別売上分析.ランチ売上（税抜）, 時間帯別売上分析.客数",-,-,既存(V89/V69),247
4次,本部管理者,年間予実対比（サマリー）,ダッシュボード表示画面,,,,客単価（ディナー）,,L3-S,単店舗(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,時間帯別売上分析.ディナー売上（税抜） ÷ 時間帯別売上分析.客数,A,計算項目,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers",中,×,"時間帯別売上分析.ディナー売上（税抜）, 時間帯別売上分析.客数",-,-,既存(V89/V69),248
4次,本部管理者,年間予実対比（サマリー）,ダッシュボード表示画面,,,,営業利益,,L3-S,単店舗(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,当月実績.売上（税抜） - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,S,計算項目,-,monthly_costs.value,中,×,"当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,-,既存(V89/V69),249
4次,本部管理者,年間予実対比（サマリー）,ダッシュボード表示画面,,,,客単価,,L3-S,単店舗(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,当月実績.売上（税抜） ÷ 感度分析.客数,A,計算項目,-,"head_office_connected_service_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers",中,×,"当月実績.売上（税抜）, 感度分析.客数",-,-,既存(V89/V69),252
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間実績_ヘルプ人件費,,L3-S,単店舗(画面間),外部連携×外部連携,KOT内の複数データ組合せ,help_costs-help_costs_minus,店舗別人件費.ヘルプ人件費 - 店舗別人件費.ヘルプ人件費マイナス,C,計算項目,-,"head_office_connected_service_labor_costs_logs.help_costs, head_office_connected_service_labor_costs_logs.help_costs_minus",最高,◎,[外部]勤怠連携（KOT/ジョブカン）.ヘルプ人件費,-,-,既存(V89/V69),241
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_固定人件費,,L3-S,単店舗(画面間),設定値集計,費用設定の固定人件費予算の年間累計,SUM(費用設定.固定人件費予算) GROUP BY year,固定人件費予算,B,費用設定（参照）,-,monthly_cost_items.value(固定人件費),中,◎,月次予算設定.年間固定人件費,-,-,既存(V89/V69),322
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_社員人件費,,L3-S,単店舗(画面間),設定値集計,費用設定の社員人件費予算の年間累計,SUM(費用設定.社員人件費予算) GROUP BY year,社員人件費予算,B,費用設定（参照）,-,monthly_cost_items.value(社員人件費),中,◎,月次予算設定.年間社員人件費,-,-,既存(V89/V69),324
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_ヘルプ人件費,,L3-S,単店舗(画面間),設定値集計,費用設定のヘルプ人件費予算の年間累計,SUM(費用設定.ヘルプ人件費予算) GROUP BY year,ヘルプ人件費予算,C,費用設定（参照）,-,monthly_cost_items.value(ヘルプ人件費),中,◎,月次予算設定.年間ヘルプ人件費,-,-,既存(V89/V69),325
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_その他経費 計,,L3-S,単店舗(画面間),設定値集計,費用設定のその他経費予算の年間累計,SUM(費用設定.その他経費予算) GROUP BY year,その他経費予算合計,B,費用設定（参照）,-,monthly_cost_items.value(その他経費),中,◎,月次予算設定.年間その他経費,-,-,既存(V89/V69),326
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_地代家賃,,L3-S,単店舗(画面間),設定値集計,費用設定の地代家賃予算の年間累計,SUM(費用設定.地代家賃予算) GROUP BY year,地代家賃予算,B,費用設定（参照）,-,monthly_cost_items.value(地代家賃),中,◎,月次予算設定.年間地代家賃,-,-,既存(V89/V69),327
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_家賃（変動分）,,L3-S,単店舗(画面間),設定値集計,費用設定の家賃（変動分）予算の年間累計,SUM(費用設定.家賃（変動分）予算) GROUP BY year,家賃（変動分）予算,C,費用設定（参照）,-,monthly_cost_items.value(家賃変動分),中,◎,月次予算設定.年間家賃（変動分）,-,-,既存(V89/V69),328
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_水道光熱費,,L3-S,単店舗(画面間),設定値集計,費用設定の水道光熱費予算の年間累計,SUM(費用設定.水道光熱費予算) GROUP BY year,水道光熱費予算,B,費用設定（参照）,-,monthly_cost_items.value(水道光熱費),中,◎,月次予算設定.年間水道光熱費,-,-,既存(V89/V69),329
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_電気代,,L3-S,単店舗(画面間),設定値集計,費用設定の電気代予算の年間累計,SUM(費用設定.電気代予算) GROUP BY year,電気代予算,C,費用設定（参照）,-,monthly_cost_items.value(電気代),中,◎,月次予算設定.年間電気代,-,-,既存(V89/V69),330
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_ガス代,,L3-S,単店舗(画面間),設定値集計,費用設定のガス代予算の年間累計,SUM(費用設定.ガス代予算) GROUP BY year,ガス代予算,C,費用設定（参照）,-,monthly_cost_items.value(ガス代),中,◎,月次予算設定.年間ガス代,-,-,既存(V89/V69),331
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_水道代,,L3-S,単店舗(画面間),設定値集計,費用設定の水道代予算の年間累計,SUM(費用設定.水道代予算) GROUP BY year,水道代予算,C,費用設定（参照）,-,monthly_cost_items.value(水道代),中,◎,月次予算設定.年間水道代,-,-,既存(V89/V69),332
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_減価償却費,,L3-S,単店舗(画面間),設定値集計,費用設定の減価償却費予算の年間累計,SUM(費用設定.減価償却費予算) GROUP BY year,減価償却費予算,B,費用設定（参照）,-,monthly_cost_items.value(減価償却費),中,◎,月次予算設定.年間減価償却費,-,-,既存(V89/V69),333
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_販促費,,L3-S,単店舗(画面間),設定値集計,費用設定の販促費予算の年間累計,SUM(費用設定.販促費予算) GROUP BY year,販促費予算,C,費用設定（参照）,-,monthly_cost_items.value(販促費),中,◎,月次予算設定.年間販促費,-,-,既存(V89/V69),334
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_資材費,,L3-S,単店舗(画面間),設定値集計,費用設定の資材費予算の年間累計,SUM(費用設定.資材費予算) GROUP BY year,資材費予算,C,費用設定（参照）,-,monthly_cost_items.value(資材費),中,◎,月次予算設定.年間資材費,-,-,既存(V89/V69),335
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_借入金返済,,L3-S,単店舗(画面間),設定値集計,費用設定の借入金返済予算の年間累計,SUM(費用設定.借入金返済予算) GROUP BY year,借入金返済予算,C,費用設定（参照）,-,monthly_cost_items.value(借入金返済),中,◎,月次予算設定.年間借入金返済,-,-,既存(V89/V69),336
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_IT費用,,L3-S,単店舗(画面間),設定値集計,費用設定のIT費用予算の年間累計,SUM(費用設定.IT費用予算) GROUP BY year,IT費用予算,C,費用設定（参照）,-,monthly_cost_items.value(IT費用),中,◎,月次予算設定.年間IT費用,-,-,既存(V89/V69),337
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_ラクミー利用料,,L3-S,単店舗(画面間),設定値集計,費用設定のラクミー利用料予算の年間累計,SUM(費用設定.ラクミー利用料予算) GROUP BY year,ラクミー利用料予算,C,費用設定（参照）,-,monthly_cost_items.value(ラクミー利用料),中,◎,月次予算設定.年間ラクミー利用料,-,-,既存(V89/V69),338
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_レジ利用料,,L3-S,単店舗(画面間),設定値集計,費用設定のレジ利用料予算の年間累計,SUM(費用設定.レジ利用料予算) GROUP BY year,レジ利用料予算,C,費用設定（参照）,-,monthly_cost_items.value(レジ利用料),中,◎,月次予算設定.年間レジ利用料,-,-,既存(V89/V69),339
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_クレジットカード手数料,,L3-S,単店舗(画面間),設定値集計,費用設定のクレジットカード手数料予算の年間累計,SUM(費用設定.クレジットカード手数料予算) GROUP BY year,クレジットカード手数料予算,C,費用設定（参照）,-,monthly_cost_items.value(クレジットカード手数料),中,◎,月次予算設定.年間クレジットカード手数料,-,-,既存(V89/V69),340
4次,本部管理者,年間予実対比（予実対比）,分析画面,,,,年間予算_お花代,,L3-S,単店舗(画面間),設定値集計,費用設定のお花代予算の年間累計,SUM(費用設定.お花代予算) GROUP BY year,お花代予算,D,費用設定（参照）,-,monthly_cost_items.value(お花代),中,◎,月次予算設定.年間お花代,-,-,既存(V89/V69),341
4次,本部管理者,店舗ラベル別サマリー,ダッシュボード表示画面,,,,営業利益,,L3-L,ラベル別(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,店舗ラベル別サマリー.売上（税抜） - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,S,計算項目,店舗ラベルでグルーピングした主要指標サマリー。売上・コスト等の集計ディメンション,"head_office_connected_service_sales_logs.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs, monthly_costs.value",中,×,"店舗ラベル別サマリー.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,-,既存(V89/V69),188
4次,本部管理者,店舗ラベル別サマリー,ダッシュボード表示画面,,,,売上達成率,,L3-L,ラベル別(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,店舗ラベル別サマリー.売上（税抜） ÷ 店舗ラベル別サマリー.売上目標 × 100,A,計算項目,店舗ラベルでグルーピングした主要指標サマリー。売上・コスト等の集計ディメンション,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",低,×,"店舗ラベル別サマリー.売上（税抜）, 店舗ラベル別サマリー.売上目標",-,-,既存(V89/V69),191
4次,本部管理者,店舗ラベル別サマリー,ダッシュボード表示画面,,,,売上進捗率,,L3-L,ラベル別(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,SUM(店舗ラベル別サマリー.売上（税抜）) ÷ 店舗ラベル別サマリー.売上目標 × 100,A,計算項目,店舗ラベルでグルーピングした主要指標サマリー。売上・コスト等の集計ディメンション,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",低,×,"店舗ラベル別サマリー.売上（税抜）, 店舗ラベル別サマリー.売上目標",-,-,既存(V89/V69),192
4次,本部管理者,店舗ラベル別サマリー,ダッシュボード表示画面,,,,FD仕入率,,L3-L,ラベル別(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,予実対比.FD仕入 ÷ 店舗ラベル別サマリー.売上（税抜） × 100,S,計算項目,店舗ラベルでグルーピングした主要指標サマリー。売上・コスト等の集計ディメンション,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded",中,×,"予実対比.FD仕入, 店舗ラベル別サマリー.売上（税抜）",-,-,既存(V89/V69),193
4次,本部管理者,店舗ラベル別サマリー,ダッシュボード表示画面,,,,人件費率,,L3-L,ラベル別(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,予実対比.人件費 ÷ 店舗ラベル別サマリー.売上（税抜） × 100,S,計算項目,店舗ラベルでグルーピングした主要指標サマリー。売上・コスト等の集計ディメンション,"head_office_connected_service_labor_costs_logs.labor_costs, head_office_connected_service_sales_logs.sales_excluded",中,×,"予実対比.人件費, 店舗ラベル別サマリー.売上（税抜）",-,-,既存(V89/V69),194
4次,本部管理者,店舗別サマリー,ダッシュボード表示画面,,,,営業利益,,L3-C,全店舗(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,店舗別サマリー.売上（税抜） - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,S,計算項目,店舗ごとの主要指標サマリー,"head_office_connected_service_sales_logs.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs, monthly_costs.value",中,×,"店舗別サマリー.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費","当月実績.営業利益, 年間予実対比.営業利益",-,既存(V89/V69),195
4次,本部管理者,店舗別サマリー,ダッシュボード表示画面,,,,売上達成率,,L3-C,全店舗(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,店舗別サマリー.売上（税抜） ÷ 店舗別サマリー.売上目標 × 100,A,計算項目,店舗ごとの主要指標サマリー,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",低,×,"店舗別サマリー.売上（税抜）, 店舗別サマリー.売上目標",-,-,既存(V89/V69),198
4次,本部管理者,店舗別サマリー,ダッシュボード表示画面,,,,売上進捗率,,L3-C,全店舗(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,SUM(店舗別サマリー.売上（税抜）) ÷ 店舗別サマリー.売上目標 × 100,A,計算項目,店舗ごとの主要指標サマリー,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",低,×,"店舗別サマリー.売上（税抜）, 店舗別サマリー.売上目標",進捗分析.売上進捗率,-,既存(V89/V69),199
4次,本部管理者,店舗別サマリー,ダッシュボード表示画面,,,,FD仕入率,,L3-C,全店舗(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,予実対比.FD仕入 ÷ 店舗別サマリー.売上（税抜） × 100,S,計算項目,店舗ごとの主要指標サマリー,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded",中,×,"予実対比.FD仕入, 店舗別サマリー.売上（税抜）",当月実績.FD仕入率,-,既存(V89/V69),200
4次,本部管理者,店舗別サマリー,ダッシュボード表示画面,,,,人件費率,,L3-C,全店舗(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,予実対比.人件費 ÷ 店舗別サマリー.売上（税抜） × 100,S,計算項目,店舗ごとの主要指標サマリー,"head_office_connected_service_labor_costs_logs.labor_costs, head_office_connected_service_sales_logs.sales_excluded",中,×,"予実対比.人件費, 店舗別サマリー.売上（税抜）",当月実績.人件費率,-,既存(V89/V69),201
4次,本部管理者,当月実績,ダッシュボード表示画面,,,,営業利益,,L3-C,全店舗(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,当月実績.売上（税抜） - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,S,計算項目,当月の実績サマリー,"head_office_connected_service_sales_logs.sales_excluded, infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs, monthly_costs.value",中,◎,"当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費","主要KPI指標.ROI, 年間予実対比.営業利益, 店舗別サマリー.営業利益, 進捗分析.利益進捗率",-,既存(V89/V69),202
4次,本部管理者,当月実績,ダッシュボード表示画面,,,,FD仕入率,,L3-C,全店舗(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,予実対比.FD仕入 ÷ 当月実績.売上（税抜） × 100,S,計算項目,当月の実績サマリー,"infomart_transactions.total_tax_excluded, head_office_connected_service_sales_logs.sales_excluded",中,◎,"予実対比.FD仕入, 当月実績.売上（税抜）",店舗別サマリー.FD仕入率,-,既存(V89/V69),204
4次,本部管理者,当月実績,ダッシュボード表示画面,,,,人件費率,,L3-C,全店舗(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,予実対比.人件費 ÷ 当月実績.売上（税抜） × 100,S,計算項目,当月の実績サマリー,"head_office_connected_service_labor_costs_logs.labor_costs, head_office_connected_service_sales_logs.sales_excluded",中,◎,"予実対比.人件費, 当月実績.売上（税抜）",店舗別サマリー.人件費率,-,既存(V89/V69),205
4次,本部管理者,当月実績,ダッシュボード表示画面,,,,FL率,,L3-C,全店舗(画面間),実績参照,分析画面で算出された値を参照表示,参照表示,(予実対比.FD仕入 + 予実対比.人件費) ÷ 当月実績.売上（税抜） × 100,S,計算項目,当月の実績サマリー,"infomart_transactions.total_tax_excluded, head_office_connected_service_labor_costs_logs.labor_costs, head_office_connected_service_sales_logs.sales_excluded",中,◎,"予実対比.FD仕入, 予実対比.人件費, 当月実績.売上（税抜）",-,-,既存(V89/V69),206
4次,本部管理者,当月実績,ダッシュボード表示画面,,,,営業利益達成率,,L3-C,全店舗(画面間),実績参照,営業利益の予算に対する達成率,参照表示,当月実績.営業利益 ÷ 当月実績.営業利益予算 × 100,S,計算項目,当月の実績サマリー,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",中,◎,"当月実績.営業利益, 当月実績.営業利益予算",-,-,既存(V89/V69),208
4次,本部管理者,当月実績,ダッシュボード表示画面,,,,売上達成率,,L3-C,全店舗(画面間),実績参照,売上の予算に対する達成率,参照表示,当月実績.売上（税抜） ÷ 当月実績.売上予算 × 100,S,計算項目,当月の実績サマリー,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.sales",中,◎,"当月実績.売上（税抜）, 当月実績.売上予算",-,-,既存(V89/V69),210
5次,本部管理者,-（新規画面）,-,,,,,店舗投資回収期間,L4(提案),派生,合成指標,【投資効率】新規出店判断、投資計画の評価,初期投資額 ÷ (月次営業利益 × 12),回収年数。業態別・立地別に算出,-,合成指標（既存指標派生）,新規出店判断、投資計画の評価,-,-,-,"店舗別営業利益(4次), 初期投資額(1次 要追加)",-,3年以下:優良 / 3-5年:標準 / 5年超:再検討,初期投資額マスタの追加必要,E-04
5次,本部管理者,-（新規画面）,-,,,,,ROA（総資産利益率）,L4(提案),派生,合成指標,【収益性】資産効率の指標、投資家向け,営業利益 ÷ 総資産 × 100,年次で算出が一般的,-,合成指標（既存指標派生）,資産効率の指標、投資家向け,-,-,-,"営業利益(4次), 総資産(会計系:1次)",-,10%以上:優良 / 5%未満:要改善,会計システム連携必要,E-05
5次,本部管理者,-（新規画面）,-,,,,,ROE（自己資本利益率）,L4(提案),派生,合成指標,【収益性】株主・オーナー視点の収益性,当期純利益 ÷ 自己資本 × 100,投資家指標の代表格,-,合成指標（既存指標派生）,株主・オーナー視点の収益性,-,-,-,"当期純利益(会計系:1次), 自己資本(会計系:1次)",-,10%以上:優良,会計システム連携必要,E-06
5次,本部管理者,-（新規画面）,-,,,,,キャッシュフロー予測,L4(提案),派生,合成指標,【予測】資金繰り・投資可能額の把握,営業CF = 営業利益 + 減価償却費 - 運転資本増減,月次予算＋回収サイト考慮,-,合成指標（既存指標派生）,資金繰り・投資可能額の把握,-,-,-,"営業利益(4次), 減価償却費(2次), 売掛買掛(会計系:1次)",-,正のCF継続:健全 / 3ヶ月連続マイナス:要融資検討,会計システム連携必要,E-10
5次,本部管理者,-（新規画面）,-,,,,,DSCR（借入金返済能力）,L4(提案),派生,合成指標,【リスク】金融機関評価、借入限度の判定,営業CF ÷ 元利返済額,1.2倍以上が融資基準,-,合成指標（既存指標派生）,金融機関評価、借入限度の判定,-,-,-,"営業CF(5次E-10), 返済額(1次 要追加)",-,1.5倍以上:余裕 / 1.0-1.2:最低 / 1.0未満:要対策,借入データ管理必要,E-13
5次,本部管理者,-（新規画面）,-,,,,,店舗監査未実施リスト,L4(提案),派生,合成指標,【品質管理】定期監査の実施管理,前回監査から規定日数経過した店舗一覧,衛生・接客・運営の各監査区分別,-,合成指標（既存指標派生）,定期監査の実施管理,-,-,-,"監査実施日(1次 要追加), 監査スケジュール(マスタ:1次)",-,規定サイクル内100%実施が目標,監査スケジュール管理機能の追加必要,H-07
5次,本部管理者,-（新規画面）,-,,,,,本部間接コスト配賦率,L4(提案),派生,合成指標,【効率】本部コストの店舗別按分、真の店舗収益性把握,本部コスト ÷ 全店舗売上 × 店舗別売上,配賦基準は売上 or 固定費 or 均等,-,合成指標（既存指標派生）,本部コストの店舗別按分、真の店舗収益性把握,-,-,-,"本部コスト(1次 要追加), 店舗別売上(2次)",-,営業利益への影響度を確認,本部コストの費目別入力必要,H-14
5次,本部管理者,-（新規画面）,-,,,,,チーム教育効果指標,L4(提案),派生,合成指標,【人材育成】教育施策後の業績改善度,施策実施前後のKPI変化率,接客教育・原価教育・衛生教育別,-,合成指標（既存指標派生）,教育施策後の業績改善度,-,-,-,"各種業績指標(2-4次), 施策実施日(1次 要追加)",-,施策後3ヶ月でKPI改善トレンド確認,施策マスタと効果測定期間の定義必要,M-08
5次,本部管理者,-（新規画面）,-,,,,,顧客満足度店舗比較,L4(提案),派生,合成指標,【顧客満足】CS調査結果の店舗別比較、改善アクション共有,店舗別平均満足度スコア,アンケート・覆面調査・クチコミ統合,-,合成指標（既存指標派生）,CS調査結果の店舗別比較、改善アクション共有,-,-,-,"CSスコア(1次 要追加), 来店客数(1次)",-,80点以上:優良 / 60-80:標準 / 60未満:要対策,CSアンケートデータの収集機能,M-09
5次,本部管理者,-（新規画面）,-,,,,,店舗監査スコア,L4(提案),派生,合成指標,【運営品質】本部監査結果の定量化、店舗評価の体系化,衛生・接客・運営各項目のスコア合計,覆面調査・本部巡回・顧客満足度を統合,-,合成指標（既存指標派生）,本部監査結果の定量化、店舗評価の体系化,-,-,-,監査項目(1次 要追加),-,80点以上:優良 / 60-80:標準 / 60未満:要改善,監査データ入力画面の追加必要,M-12
5次,本部管理者,FD分析（仕入率/原価率）,-,,,,,FL率効率ランキング,L4(提案),派生,合成指標,【店舗比較】コスト効率トップ・ボトム,店舗別FL率の逆順,低いほど上位,-,合成指標,コスト効率トップ・ボトム,-,-,-,店舗別FL率(4次),-,下位:仕入見直し / 上位:モデル店舗,既存ラクミーデータで算出可,HB-15
5次,本部管理者,FD分析（仕入率/原価率）,-,,,,,店舗間FL率分散,L4(提案),派生,合成指標,【格差分析】コスト管理水準の店舗間差,STDEV(店舗別FL率),ラベル別に算出推奨,-,合成指標,コスト管理水準の店舗間差,-,-,-,店舗別FL率(4次),-,2%以下:均質 / 5%超:要教育,既存ラクミーデータで算出可,HB-19
5次,本部管理者,"FD分析（仕入率/原価率）, 店舗ラベル別サマリー",-,,,,,店舗別FD原価率ばらつき,L4(提案),派生,合成指標,【運営品質】同業態内の原価管理水準差、マニュアル見直し,同ラベル内の原価率標準偏差,同じメニューの店舗間ばらつき,-,合成指標（既存指標派生）,同業態内の原価管理水準差、マニュアル見直し,-,-,-,"FD仕入(2次), 売上(2次), ラベル(1次)",-,2%以下:均質 / 5%超:マニュアル見直し,ラベル紐付けが前提,M-05
5次,本部管理者,PA人件費率分析,-,,,,,労働生産性ランキング,L4(提案),派生,合成指標,【店舗比較】人時売上高トップ・ボトム,店舗別人時売上高の順位,業態ラベル内比較,-,合成指標,人時売上高トップ・ボトム,-,-,-,"店舗別売上(2次), 人件費(2次)",-,上位:シフト最適化事例,既存ラクミーデータで算出可,HB-16
5次,本部管理者,"PA人件費率分析, 店舗別人件費",-,,,,,ヘルプ人件費率,L4(提案),派生,合成指標,【人的資源】応援人件費の恒常化チェック、採用計画の根拠,ヘルプ人件費 ÷ 総人件費 × 100,ヘルプが多い=固定人員不足の可能性,-,合成指標（既存指標派生）,応援人件費の恒常化チェック、採用計画の根拠,-,-,-,"ヘルプ人件費(2次), 総人件費(3次)",-,5%以下:健全 / 15%超:採用増強検討,既存データから算出可能,H-12
5次,本部管理者,"PA人件費率分析, 店舗別人件費",-,,,,,人件費異常店舗アラート,L4(提案),派生,合成指標,【リスク検知】人件費の異常変動,人件費率が全店平均+2σ超の店舗,シフトミスや過剰人員,-,合成指標,人件費の異常変動,-,-,-,"店舗別人件費率(4次), 全店平均(4次), 標準偏差",-,2σ超:要調査 / 3σ超:緊急,既存ラクミーデータで算出可,HB-45
5次,本部管理者,"PA人件費率分析, 店舗別人件費",-,,,,,店舗別労働生産性比較,L4(提案),派生,合成指標,【労働効率】人時売上・人時粗利の店舗比較,店舗別人時売上高の順位,業態内で比較,-,合成指標（既存指標派生）,人時売上・人時粗利の店舗比較,-,-,-,"人時売上高(5次:S-02), 人時粗利(5次:S-03)",-,上位店舗のシフト設計を共有,シフトデータ整備前提,M-11
5次,本部管理者,"ダッシュボード.主要KPI指標, 年間予実対比（サマリー）",-,,,,,全社営業利益率,L4(提案),派生,合成指標,【収益性】全社の収益性指標、経営戦略の成否評価,全店舗合計営業利益 ÷ 全店舗合計売上 × 100,業態別・ラベル別に分解可能,-,合成指標（既存指標派生）,全社の収益性指標、経営戦略の成否評価,-,-,-,"全店舗営業利益(4次), 全店舗売上(4次)",-,10%以上:優良 / 5-10%:標準 / 5%未満:要改善,既存データから算出,E-01
5次,本部管理者,"ダッシュボード.主要KPI指標, 年間予実対比（予実対比）",-,,,,,全社EBITDA,L4(提案),派生,合成指標,【収益性】減価償却前営業利益、投資判断の基準,営業利益 + 減価償却費 + 賃借料,店舗投資回収力の指標。金融機関評価にも使用,-,合成指標（既存指標派生）,減価償却前営業利益、投資判断の基準,-,-,-,"営業利益(4次), 減価償却費(2次), 地代家賃(2次)",-,売上比15%以上:健全 / 10%未満:再建検討,減価償却費データの整備要,E-02
5次,本部管理者,"ダッシュボード.主要KPI指標, 異常検知フラグ",-,,,,,全店舗異常検知アラート,L4(提案),派生,合成指標,【統制】売上/客数/在庫の異常変動を全店横断で監視,各指標のZスコア >= 2 の店舗一覧,統計的外れ値検出,-,合成指標（既存指標派生）,売上/客数/在庫の異常変動を全店横断で監視,-,-,-,"各種業績指標(2-4次), 過去平均・標準偏差(計算用)",-,Zスコア2以上:要確認 / 3以上:緊急調査,過去データの保持が必要,H-13
5次,本部管理者,予実対比（一覧）,-,,,,,費用超過店舗アラート,L4(提案),派生,合成指標,【リスク検知】予算超過の早期検知,費目別実績が予算の110%超の店舗リスト,費目別に抽出,-,合成指標,予算超過の早期検知,-,-,-,"店舗別費目実績(2次), 費目予算(3次)",-,110%超:要説明 / 130%超:緊急,既存ラクミーデータで算出可,HB-47
5次,本部管理者,予算一覧（予算構成）,-,,,,,予算対比率の変動係数(全社),L4(提案),派生,合成指標,【予算管理】店舗別予算管理の安定性,STDEV(店舗別予算対比率) ÷ AVG,全社の予算管理均質性,-,合成指標,店舗別予算管理の安定性,-,-,-,店舗別予算対比率(4次),-,0.1以下:非常に安定,既存ラクミーデータで算出可,HB-41
5次,本部管理者,"予算一覧（予算構成）, 予実対比（一覧）",-,,,,,達成率変動係数,L4(提案),派生,合成指標,【統制】予算達成率のばらつき、管理安定性指標,店舗別予算達成率の標準偏差 ÷ 平均,CV（変動係数）。低いほど均質な運営,-,合成指標（既存指標派生）,予算達成率のばらつき、管理安定性指標,-,-,-,"予算対比率(4次), 店舗別平均(4次)",-,0.1以下:非常に安定 / 0.3超:ばらつき大,既存データから算出,H-10
5次,本部管理者,仕入先分析,-,,,,,仕入先集中度,L4(提案),派生,合成指標,【仕入先管理】BCP観点の仕入先リスク,HHI(ハーフィンダール指数)=Σ(仕入先シェア²),集中度が高いほどリスク大,-,合成指標,BCP観点の仕入先リスク,-,-,-,仕入先別仕入(2次),-,2000未満:分散 / 2500超:集中リスク,既存ラクミーデータで算出可,HB-34
5次,本部管理者,客単価分析,-,,,,,客単価ランキング,L4(提案),派生,合成指標,【店舗比較】店舗ブランディング力の比較,店舗別客単価の順位,業態ラベル内比較推奨,-,合成指標,店舗ブランディング力の比較,-,-,-,店舗別客単価(2次),-,ラベル内偏差で評価,既存ラクミーデータで算出可,HB-13
