360,一覧表示画面,予算一覧（予算構成）,雑費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '雑費',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 予算一覧(予算構成).雑費,スキーマ検証済,-,-,-,一覧表示画面,一覧表示,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
361,一覧表示画面,予算一覧（予算構成）,電気代,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = '電気代',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 予算一覧(予算構成).電気代,スキーマ検証済,-,-,-,一覧表示画面,一覧表示,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
362,一覧表示画面,予算一覧（予算構成）,営業利益,L4a,S,画面内,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,予算一覧(予算構成).売上 計 - 予算一覧(予算構成).FLコスト 計 - 予算一覧(予算構成).その他経費 計,-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 予算一覧(予算構成).営業利益,スキーマ検証済,-,-,-,一覧表示画面,一覧表示,実績値を算出（定義元）。予実差額や各種比率の算出に使用。
363,一覧表示画面,予算一覧（予算構成）,フード売上ランチ,L0,C,-,POS（売上・客数）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予算一覧(予算構成).フード売上ランチ,スキーマ検証済,-,-,-,一覧表示画面,一覧表示,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
364,一覧表示画面,予算一覧（予算構成）,フード売上ディナー,L0,C,-,POS（売上・客数）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(TITEM.sales_excluded) WHERE category = 'フード' AND order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予算一覧(予算構成).フード売上ディナー,スキーマ検証済,-,-,-,一覧表示画面,一覧表示,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
365,一覧表示画面,予算一覧（予算構成）,ドリンク売上ランチ,L0,C,-,POS（売上・客数）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 11:00 AND 15:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予算一覧(予算構成).ドリンク売上ランチ,スキーマ検証済,-,-,-,一覧表示画面,一覧表示,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
366,一覧表示画面,予算一覧（予算構成）,ドリンク売上ディナー,L0,C,-,POS（売上・客数）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(TITEM.sales_excluded) WHERE category = 'ドリンク' AND order_time BETWEEN 17:00 AND 23:00,-,head_office_item_sales_logs.sales_excluded,TITEM.sales_excluded,POS売上（商品別）,[外部]TITEM.sales_excluded,-,TITEM.sales_excluded → head_office_item_sales_logs.sales_excluded → 予算一覧(予算構成).ドリンク売上ディナー,スキーマ検証済,-,-,-,一覧表示画面,一覧表示,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
367,一覧表示画面,予算一覧（予算構成）,フード仕入,L0,C,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'フード',-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 予算一覧(予算構成).フード仕入,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,一覧表示画面,一覧表示,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
368,一覧表示画面,予算一覧（予算構成）,ドリンク仕入,L0,C,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(infomart_transactions.total_tax_excluded) WHERE category = 'ドリンク',-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 予算一覧(予算構成).ドリンク仕入,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,一覧表示画面,一覧表示,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
369,一覧表示画面,予算一覧（予算構成）,固定人件費,L0,C,-,KOT（勤怠・人件費）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(head_office_connected_service_labor_costs_logs.labor_costs) WHERE employee_type = '月給者',-,head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs,head_office_connected_service_labor_costs_logs.labor_costs,勤怠（KOT/ジョブカン）,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,head_office_connected_service_labor_costs_logs.labor_costs → head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 予算一覧(予算構成).固定人件費,スキーマ検証済,-,-,-,一覧表示画面,一覧表示,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
370,一覧表示画面,予算一覧（予算構成）,PA人件費,L0,C,-,KOT（勤怠・人件費）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(head_office_employee_working_records.daily_cost),-,head_office_employee_working_records.daily_cost,head_office_employee_working_records.daily_cost,-,[外部]head_office_employee_working_records.daily_cost,-,head_office_employee_working_records.daily_cost → head_office_employee_working_records.daily_cost → 予算一覧(予算構成).PA人件費,外部連携検証済,データソース: KOT（勤怠・人件費）,-,-,一覧表示画面,一覧表示,外部連携データから実績値を算出（定義元）。ダッシュボード等へ参照される。
371,一覧表示画面,予算一覧（予算構成）,ヘルプ人件費,L1,C,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,店舗別人件費.ヘルプ人件費 - 店舗別人件費.ヘルプ人件費マイナス,-,"head_office_connected_service_labor_costs_logs.help_costs, head_office_connected_service_head_office_connected_service_labor_costs_logs.help_costs_minus","help_costs, help_costs_minus",-,-,-,help_costs / help_costs_minus → head_office_connected_service_labor_costs_logs.help_costs / head_office_connected_service_head_office_connected_service_labor_costs_logs.help_costs_minus → 予算一覧(予算構成).ヘルプ人件費,AI推測,-,-,-,実績算出・分析画面,実績算出,実績値を算出（定義元）。予実差額や各種比率の算出に使用。
372,一覧表示画面,予算一覧（予算構成）,地代家賃,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=家賃,monthly_costs.value WHERE cost_item = '家賃',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 予算一覧(予算構成).地代家賃,スキーマ検証済,-,-,-,一覧表示画面,一覧表示,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
373,一覧表示画面,予算一覧（予算構成）,資材費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=資材費,monthly_costs.value WHERE cost_item = '資材費',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 予算一覧(予算構成).資材費,スキーマ検証済,-,-,-,一覧表示画面,一覧表示,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
374,一覧表示画面,予算一覧（予算構成）,減価償却費,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目=減価償却費,monthly_costs.value WHERE cost_item = '減価償却費',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 予算一覧(予算構成).減価償却費,スキーマ検証済,-,-,-,一覧表示画面,一覧表示,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
375,一覧表示画面,予算一覧（予算構成）,ｸﾚｼﾞｯﾄ手数料,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,費目フィルタ,monthly_costs.value WHERE cost_item = 'クレジット手数料',-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 予算一覧(予算構成).ｸﾚｼﾞｯﾄ手数料,スキーマ検証済,-,-,-,一覧表示画面,一覧表示,予実対比画面で算出・表示。実績算出と分析表示の両方の役割。
376,一覧表示画面,予算一覧（予算設定値）,月次目標利益,L3,B,-,予算設定（入力）,予算設定参照,月次予算設定.目標月次利益を参照表示,マスタ参照,monthly_budgets.value,-,monthly_budgets.profit,-,ユーザー入力（予算設定）,月次予算設定.目標月次利益,-,monthly_budgets.profit → 予算一覧(予算設定値).月次目標利益,スキーマ検証済,-,-,-,一覧表示画面,一覧表示,ユーザーが入力する予算設定値（算出元: [入力]monthly_budgets）。
377,一覧表示画面,予算一覧（予算設定値）,目標FD仕入費率,L3,B,-,予算設定（入力）,予算設定参照,月次予算設定.FD仕入比率を参照表示,マスタ参照,monthly_budgets.ratio,-,"monthly_budgets.food_cost_rate（またはlabor_cost_rate）, monthly_budgets.profit",-,月次予算設定.FD仕入比率,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,monthly_budgets.food_cost_rate（またはlabor_cost_rate） / monthly_budgets.profit → 予算一覧(予算設定値).目標FD仕入費率,設定/入力検証済,データソース: 予算設定（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する予算設定値（算出元: [入力]monthly_budgets）。
378,一覧表示画面,予算一覧（予算設定値）,目標PA人件費率,L3,S,-,予算設定（入力）,予算設定参照,月次予算設定.PA人件費率を参照表示,マスタ参照,monthly_budgets.ratio,-,"monthly_budgets.food_cost_rate（またはlabor_cost_rate）, monthly_budgets.profit",-,月次予算設定.PA人件費率,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,monthly_budgets.food_cost_rate（またはlabor_cost_rate） / monthly_budgets.profit → 予算一覧(予算設定値).目標PA人件費率,設定/入力検証済,データソース: 予算設定（入力）,-,-,設定入力画面,設定入力,ユーザーが入力する予算設定値（算出元: [入力]monthly_budgets）。
379,一覧表示画面,予算一覧（予算設定値）,目標客単価,L3,A,-,予算設定（入力）,予算設定参照,月次予算設定.目標客単価（税抜）を参照表示,マスタ参照,monthly_budgets.value,-,monthly_budgets.profit,-,ユーザー入力（予算設定）,月次予算設定.目標客単価（税抜）,-,monthly_budgets.profit → 予算一覧(予算設定値).目標客単価,スキーマ検証済,-,-,-,一覧表示画面,一覧表示,ユーザーが入力する予算設定値（算出元: [入力]monthly_budgets）。
380,一覧表示画面,商品仕入単価,アイテム,L0,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,detail_list.item_name,-,infomart_order_details.item_name,detail_list.item_name,-,[外部]detail_list.item_name,平均単価推移.仕入商品ラベル,detail_list.item_name → infomart_order_details.item_name → 商品仕入単価.アイテム,外部連携検証済,detail_list.item_name → infomart_transactions.item_name,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
381,一覧表示画面,商品仕入単価,金額（税抜）,L0,C,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(detail_list.price) GROUP BY item_name,-,infomart_order_details.price,detail_list.price,-,[外部]detail_list.price,商品仕入単価.単価,detail_list.price → infomart_order_details.price → 商品仕入単価.金額税抜,外部連携検証済,detail_list.price → infomart_transactions.price,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
382,一覧表示画面,商品仕入単価,数量,L0,C,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(detail_list.num) GROUP BY item_name,-,infomart_order_details.num,detail_list.num,-,[外部]detail_list.num,"商品仕入単価.単価, 平均単価推移.数量",detail_list.num → infomart_order_details.num → 商品仕入単価.数量,外部連携検証済,detail_list.num → infomart_transactions.num,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
383,一覧表示画面,商品仕入単価,単価,L1,C,画面内,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,商品仕入単価.金額税抜 ÷ 商品仕入単価.数量,-,"infomart_order_details.price, infomart_order_details.num","detail_list.price, detail_list.num",-,商品仕入単価.数量,平均単価推移.平均単価,detail_list.price / detail_list.num → infomart_order_details.price / infomart_order_details.num → 商品仕入単価.単価,外部連携検証済,detail_list.price → infomart_transactions.price,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
384,一覧表示画面,棚卸詳細,実施日,L3,D,-,費用・棚卸（入力）,ユーザー入力単独,棚卸画面での直接入力,日付,inventories.date,-,inventories.date,-,ユーザー入力（棚卸）,-,-,inventories.date → 棚卸詳細.実施日,設定/入力検証済,データソース: 費用・棚卸（入力）,-,-,一覧表示画面,一覧表示,棚卸データの一覧表示
385,一覧表示画面,棚卸詳細,カテゴリ,L3,D,-,ラベルマスタ（設定）,マスタ参照表示,マスタから取得して表示,マスタ参照,labels.name,-,labels.name,-,マスタ参照,-,-,labels.name → 棚卸詳細.カテゴリ,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,一覧表示画面,一覧表示,棚卸データの一覧表示
386,一覧表示画面,棚卸詳細,在庫数量,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,棚卸画面での直接入力,入力値,inventory_items.num,-,inventory_items.num,-,ユーザー入力（棚卸）,-,-,inventory_items.num → 棚卸詳細.在庫数量,設定/入力検証済,データソース: 費用・棚卸（入力）,-,-,一覧表示画面,一覧表示,棚卸データの一覧表示
387,一覧表示画面,棚卸詳細,商品単価,L3,C,-,費用・棚卸（入力）,ユーザー入力単独,棚卸画面での直接入力,入力値,inventory_items.price,-,inventory_items.price,-,ユーザー入力（棚卸）,-,-,inventory_items.price → 棚卸詳細.商品単価,設定/入力検証済,データソース: 費用・棚卸（入力）,-,-,一覧表示画面,一覧表示,棚卸データの一覧表示
388,一覧表示画面,棚卸詳細,小計,L1,C,画面内,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,棚卸詳細.在庫数量 × 棚卸詳細.商品単価,-,"inventory_items.num, inventory_items.price",-,画面内演算,-,-,inventory_items.num × inventory_items.price → 棚卸詳細.小計,演算検証済,在庫数量×商品単価,-,-,一覧表示画面,一覧表示,棚卸データの一覧表示
389,一覧表示画面,納品書管理,納品書ID,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.id,-,infomart_transactions.id,-,インフォマート（仕入）,-,-,infomart_transactions.id → 納品書管理.納品書ID,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書データの一覧表示
390,一覧表示画面,納品書管理,受付日時,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.received_at,-,infomart_transactions.received_at,-,インフォマート（仕入）,-,-,infomart_transactions.received_at → 納品書管理.受付日時,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書データの一覧表示
391,一覧表示画面,納品書管理,納品日,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.delivery_date,-,infomart_transactions.delivery_date,-,インフォマート（仕入）,-,-,infomart_transactions.delivery_date → 納品書管理.納品日,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書データの一覧表示
392,一覧表示画面,納品書管理,店舗名,L2,D,-,店舗マスタ（設定）,マスタ参照表示,マスタから取得して表示,マスタ参照,shops.name,-,shops.name,-,マスタ参照,-,-,shops.name → 納品書管理.店舗名,設定/入力検証済,データソース: 店舗マスタ（設定）,-,-,一覧表示画面,一覧表示,納品書データの一覧表示
393,一覧表示画面,納品書管理,処理ステータス,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.status,-,infomart_transactions.status,-,インフォマート（仕入）,-,-,infomart_transactions.status → 納品書管理.処理ステータス,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書データの一覧表示
394,一覧表示画面,納品書管理,発注先,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.client_name,-,infomart_transactions.client_name,-,インフォマート（仕入）,-,-,infomart_transactions.client_name → 納品書管理.発注先,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書データの一覧表示
395,一覧表示画面,納品書詳細,納品書ID,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.id,-,infomart_transactions.id,-,インフォマート（仕入）,-,-,infomart_transactions.id → 納品書詳細.納品書ID,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書詳細データの一覧表示
396,一覧表示画面,納品書詳細,発注者,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.orderer_name,-,infomart_transactions.orderer_name,-,インフォマート（仕入）,-,-,infomart_transactions.orderer_name → 納品書詳細.発注者,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書詳細データの一覧表示
397,一覧表示画面,納品書詳細,受注者,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.client_name,-,infomart_transactions.client_name,-,インフォマート（仕入）,-,-,infomart_transactions.client_name → 納品書詳細.受注者,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書詳細データの一覧表示
398,一覧表示画面,納品書詳細,処理ステータス,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.status,-,infomart_transactions.status,-,インフォマート（仕入）,-,-,infomart_transactions.status → 納品書詳細.処理ステータス,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書詳細データの一覧表示
399,一覧表示画面,納品書詳細,納品日,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.delivery_date,-,infomart_transactions.delivery_date,-,インフォマート（仕入）,-,-,infomart_transactions.delivery_date → 納品書詳細.納品日,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,納品書詳細データの一覧表示

■ ダッシュボード表示画面 (78指標 / 6画面)
No,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,演算範囲,データソース区分,指標タイプ,指標タイプ詳細,演算ロジック,演算式詳細,中間画面名.画面指標名,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,判断,AI推測の理由,不明点,改善,画面カテゴリ,指標区分,指標区分の説明
400,ダッシュボード表示画面,主要KPI指標,坪月商,L4a,B,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,当月実績.売上（税抜） ÷ 店舗マスタ.坪数,-,"head_office_connected_service_sales_logs.sales_excluded, shops.total_area_num",ZTOTAL.sales_excluded,POS売上（日別集計）,当月実績.売上（税抜）,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / shops.total_area_num → 主要KPI指標.坪月商,スキーマ検証済,-,坪数マスタの取得元テーブル未確認,店舗マスタに坪数カラムがあるか確認必要,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 店舗マスタ, 当月実績）。"
401,ダッシュボード表示画面,主要KPI指標,営業利益率,L4b,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,(当月実績.売上（税抜） - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費) ÷ 当月実績.売上（税抜） × 100,当月実績.営業利益,z_totals.sales_excluded,-,-,"当月実績.営業利益, 当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,z_totals.sales_excluded → 当月実績.営業利益 → 主要KPI指標.営業利益率,演算検証済,インプット元: 当月実績.営業利益,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 当月実績）。"
402,ダッシュボード表示画面,主要KPI指標,家賃比率,L4a,B,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,月次費用入力.金額(家賃) ÷ 当月実績.売上（税抜） × 100,-,"monthly_costs.value, head_office_connected_service_sales_logs.sales_excluded",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（費用設定）",当月実績.売上（税抜）,-,ZTOTAL.sales_excluded → monthly_costs.value / head_office_connected_service_sales_logs.sales_excluded → 主要KPI指標.家賃比率,スキーマ検証済,-,家賃の費目IDが固定かどうか未確認,費目マスタで家賃IDを確認必要,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 当月実績, 月次費用入力）。"
403,ダッシュボード表示画面,主要KPI指標,ROI,L4b,B,画面間,計算項目,実績参照,分析画面で算出されたROIを参照表示,参照表示,当月実績.営業利益 ÷ 予算設定.予算金額 × 100,当月実績.営業利益,"monthly_budgets.value（予算設定画面）, monthly_budgets.profit",-,予実対比.ROI（←予実対比.営業利益 ÷ 月次予算設定.投資額）,当月実績.営業利益,-,monthly_budgets.value（予算設定画面） / monthly_budgets.profit → 当月実績.営業利益 → 主要KPI指標.ROI,演算検証済,インプット元: 当月実績.営業利益,投資額=予算金額の解釈が正しいか未確認,ROIの定義(分母)を仕様書で確認必要,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予算設定, 当月実績）。"
404,ダッシュボード表示画面,年間予実対比（サマリー）,客単価(ランチ),L1,A,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,時間帯別売上分析.ランチ売上（税抜） ÷ 時間帯別売上分析.客数,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","TITEM.sales_excluded, ZTOTAL.customers","POS売上（商品別）, POS売上（日別集計）","時間帯別売上分析.ランチ売上（税抜）, 時間帯別売上分析.客数",-,TITEM.sales_excluded / ZTOTAL.customers → head_office_item_sales_logs.sales_excluded / head_office_connected_service_sales_logs.customers → 年間予実対比(サマリー).客単価(ランチ),スキーマ検証済,-,ランチ時間帯の客数取得方法が不明,時間帯別客数の取得ロジックを確認必要,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: 時間帯別売上分析）。
405,ダッシュボード表示画面,年間予実対比（サマリー）,客単価(ディナー),L1,A,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,時間帯別売上分析.ディナー売上（税抜） ÷ 時間帯別売上分析.客数,-,"head_office_item_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","TITEM.sales_excluded, ZTOTAL.customers","POS売上（商品別）, POS売上（日別集計）","時間帯別売上分析.ディナー売上（税抜）, 時間帯別売上分析.客数",-,TITEM.sales_excluded / ZTOTAL.customers → head_office_item_sales_logs.sales_excluded / head_office_connected_service_sales_logs.customers → 年間予実対比(サマリー).客単価(ディナー),スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: 時間帯別売上分析）。
406,ダッシュボード表示画面,年間予実対比（サマリー）,営業利益,L4a,S,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,当月実績.売上（税抜） - 予実対比.FD仕入 - 予実対比.人件費 - 予実対比.その他経費,-,monthly_costs.value,-,ユーザー入力（費用設定）,"当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,monthly_costs.value → 年間予実対比(サマリー).営業利益,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予実対比, 当月実績）。"
407,ダッシュボード表示画面,年間予実対比（サマリー）,FD仕入額,L0,C,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(infomart_transactions.total_tax_excluded) GROUP BY year,-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,[外部]infomart_transactions.total_tax_excluded,-,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 年間予実対比(サマリー).FD仕入額,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: [外部]tax_excluded_total）。
408,ダッシュボード表示画面,年間予実対比（サマリー）,人件費額,L0,C,-,KOT（勤怠・人件費）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,SUM(head_office_connected_service_labor_costs_logs.labor_costs) GROUP BY year,-,head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs,head_office_connected_service_labor_costs_logs.labor_costs,勤怠（KOT/ジョブカン）,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,head_office_connected_service_labor_costs_logs.labor_costs → head_office_connected_service_head_office_connected_service_labor_costs_logs.labor_costs → 年間予実対比(サマリー).人件費額,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: [外部]labor_costs_logs）。
409,ダッシュボード表示画面,年間予実対比（サマリー）,客単価,L1,A,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,当月実績.売上（税抜） ÷ 感度分析.客数,-,"head_office_connected_service_sales_logs.sales_excluded, head_office_connected_service_sales_logs.customers","ZTOTAL.sales_excluded, ZTOTAL.customers",POS売上（日別集計）,"当月実績.売上（税抜）, 感度分析.客数",-,ZTOTAL.sales_excluded / ZTOTAL.customers → head_office_connected_service_sales_logs.sales_excluded / head_office_connected_service_sales_logs.customers → 年間予実対比(サマリー).客単価,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 当月実績, 感度分析）。"
410,ダッシュボード表示画面,店舗ラベル別サマリー,売上目標,L3,B,-,予算設定（入力）,予算設定参照,月次予算設定.売上（税抜）を参照表示,マスタ参照,monthly_budgets.value,-,monthly_budgets.profit,-,ユーザー入力（予算設定）,月次予算設定.売上（税抜）,店舗ラベル別サマリー.売上達成率,monthly_budgets.profit → 店舗ラベル別サマリー.売上目標,スキーマ検証済,-,店舗ラベルのマスタ構造が不明,店舗ラベルマスタを確認必要,ダッシュボード表示画面,ダッシュボード表示,重要指標を先頭画面に表示（算出元: [入力]monthly_budgets）。
411,ダッシュボード表示画面,店舗ラベル別サマリー,売上達成率,L4a,A,画面間,計算項目,実績参照,分析画面で算出された値を参照表示,参照表示,店舗ラベル別サマリー.売上（税抜） ÷ 予算設定.予算金額 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,"POS売上（日別集計）, ユーザー入力（予算設定）",店舗ラベル別サマリー.売上（税抜）,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 店舗ラベル別サマリー.売上達成率,スキーマ検証済,-,-,-,ダッシュボード表示画面,ダッシュボード表示,"重要指標を先頭画面に表示（算出元: 予算設定, 店舗ラベル別サマリー）。"
