画面タイトル,画面タイプ,次数,指標名,計算レイヤー,依存先指標,用途コメント,V89No
集計（売上）税抜,分析画面,3次,売上総額,L2-S,売上経費入力.店内売上+店外売上,-,782
集計（売上）税抜,分析画面,3次,標準税率（額）,L2-S,売上経費入力.店内売上税抜,-,783
集計（売上）税抜,分析画面,3次,軽減税率（額）,L2-S,売上経費入力.店外売上税抜,-,784
集計（売上）税抜,分析画面,3次,客数,L2-S,売上経費入力.客数,-,785
集計（売上）税込,分析画面,3次,売上総額,L2-S,店内売上税込+店外売上税込,-,790
集計（売上）税込,分析画面,3次,標準税率（額）,L2-S,店内売上税込,-,791
集計（売上）税込,分析画面,3次,軽減税率（額）,L2-S,店外売上税込,-,792
集計（売上）税込,分析画面,3次,客数,L2-S,売上経費入力.客数,-,793
集計（費用）税抜,分析画面,3次,費用総額,L2-S,"仕入額, 人件費",-,786
集計（費用）税抜,分析画面,3次,仕入額,L2-S,納品書撮影.小計（税抜）,-,787
集計（費用）税抜,分析画面,3次,人件費,L2-S,売上経費入力.人件費,-,788
集計（費用）税込,分析画面,3次,費用総額,L2-S,"仕入額税込, 人件費",-,794
集計（費用）税込,分析画面,3次,仕入額,L2-S,小計（税込）,-,795
集計（費用）税込,分析画面,3次,人件費,L2-S,売上経費入力.人件費,-,796
ラベル一覧（仕入商品リスト）,一覧表示画面,1次,商品ID,L0,-,-,375
ラベル一覧（仕入商品リスト）,一覧表示画面,1次,商品名,L0,-,-,377
ラベル一覧（仕入商品リスト）,一覧表示画面,1次,費目名,L0,-,-,378
ラベル一覧（仕入商品リスト）,一覧表示画面,1次,ラベル名,L0,-,-,379
ラベル一覧（仕入商品リスト）,一覧表示画面,2次,発注先名,L1,-,-,376
ラベル一覧（売上商品リスト）,一覧表示画面,1次,発注先ID,L0,-,-,380
ラベル一覧（売上商品リスト）,一覧表示画面,1次,発注先名,L0,-,-,381
ラベル一覧（売上商品リスト）,一覧表示画面,1次,ラベル名,L0,-,-,382
ラベル一覧（発注先リスト）,一覧表示画面,1次,商品ID,L0,-,-,383
ラベル一覧（発注先リスト）,一覧表示画面,1次,商品名,L0,-,-,384
ラベル一覧（発注先リスト）,一覧表示画面,1次,ラベル名,L0,-,-,385
予実対比（一覧）,一覧表示画面,2次,その他売上（サービス料等）,L1,[外部]ZTOTAL.service_charge_1,-,386
予実対比（一覧）,一覧表示画面,2次,その他売上ランチ,L1,[外部]TITEM.sales_excluded,-,387
予実対比（一覧）,一覧表示画面,2次,その他売上ディナー,L1,[外部]TITEM.sales_excluded,-,388
予実対比（一覧）,一覧表示画面,2次,割引･値引等,L1,[外部]ZTOTAL.discount,-,389
予実対比（一覧）,一覧表示画面,2次,総売上,L1,[外部]ZTOTAL.sales_excluded,-,390
予実対比（一覧）,一覧表示画面,2次,フード売上,L1,[外部]TITEM.sales_excluded,-,391
予実対比（一覧）,一覧表示画面,2次,フード売上ランチ,L1,[外部]TITEM.sales_excluded,-,392
予実対比（一覧）,一覧表示画面,2次,フード売上ディナー,L1,[外部]TITEM.sales_excluded,-,393
予実対比（一覧）,一覧表示画面,2次,ドリンク売上,L1,[外部]TITEM.sales_excluded,-,394
予実対比（一覧）,一覧表示画面,2次,ドリンク売上ランチ,L1,[外部]TITEM.sales_excluded,-,395
予実対比（一覧）,一覧表示画面,2次,ドリンク売上ディナー,L1,[外部]TITEM.sales_excluded,-,396
予実対比（一覧）,一覧表示画面,2次,FD仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,397
予実対比（一覧）,一覧表示画面,2次,フード仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,398
予実対比（一覧）,一覧表示画面,2次,ドリンク仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,399
予実対比（一覧）,一覧表示画面,2次,人件費,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,400
予実対比（一覧）,一覧表示画面,2次,固定人件費,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,401
予実対比（一覧）,一覧表示画面,2次,PA人件費,L1,[外部]head_office_employee_working_records.daily_cost,-,402
予実対比（一覧）,一覧表示画面,2次,その他経費,L1,-,-,404
予実対比（一覧）,一覧表示画面,2次,地代家賃,L1,-,-,405
予実対比（一覧）,一覧表示画面,2次,資材費,L1,-,-,406
予実対比（一覧）,一覧表示画面,3次,営業利益,L2-S,-,-,407
予実対比（一覧）,一覧表示画面,4次,ヘルプ人件費,L3-S,[外部]勤怠連携（KOT/ジョブカン）.ヘルプ人件費,-,403
予実対比（一覧）,一覧表示画面,5次,予実ギャップの前月比変動率,L4(提案),ヘルプ人件費,【経営判断用】予実差額の月次変動を捉え、異常傾向を早期検知 / 概念式: 予実差額_* (前月比),提案
予実対比（一覧）,一覧表示画面,5次,実績移動平均（3ヶ月）,L4(提案),ヘルプ人件費,【予測用】短期トレンドの平滑化で次月予測の参考値 / 概念式: 実績_* (3ヶ月移動平均),提案
予算一覧（予算構成）,一覧表示画面,2次,売上 計,L1,[外部]ZTOTAL.sales_excluded,-,408
予算一覧（予算構成）,一覧表示画面,2次,フード売上 計,L1,[外部]TITEM.sales_excluded,-,409
予算一覧（予算構成）,一覧表示画面,2次,ドリンク売上 計,L1,[外部]TITEM.sales_excluded,-,410
予算一覧（予算構成）,一覧表示画面,2次,その他売上 計（サービス料等）,L1,[外部]ZTOTAL.service_charge_1,-,411
予算一覧（予算構成）,一覧表示画面,2次,FD仕入 計,L1,[外部]infomart_transactions.total_tax_excluded,-,413
予算一覧（予算構成）,一覧表示画面,2次,人件費 計,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,414
予算一覧（予算構成）,一覧表示画面,2次,その他経費 計,L1,-,-,415
予算一覧（予算構成）,一覧表示画面,2次,IT費,L1,-,-,416
予算一覧（予算構成）,一覧表示画面,2次,ガス代,L1,-,-,417
予算一覧（予算構成）,一覧表示画面,2次,サービス費,L1,-,-,418
予算一覧（予算構成）,一覧表示画面,2次,保守修繕費,L1,-,-,419
予算一覧（予算構成）,一覧表示画面,2次,外注費,L1,-,-,420
予算一覧（予算構成）,一覧表示画面,2次,支払手数料,L1,-,-,421
予算一覧（予算構成）,一覧表示画面,2次,水道代,L1,-,-,422
予算一覧（予算構成）,一覧表示画面,2次,消耗品費,L1,-,-,423
予算一覧（予算構成）,一覧表示画面,2次,衛生費,L1,-,-,424
予算一覧（予算構成）,一覧表示画面,2次,調査費,L1,-,-,425
予算一覧（予算構成）,一覧表示画面,2次,諸会費,L1,-,-,426
予算一覧（予算構成）,一覧表示画面,2次,警備料,L1,-,-,427
予算一覧（予算構成）,一覧表示画面,2次,販売促進費,L1,-,-,428
予算一覧（予算構成）,一覧表示画面,2次,販売管理費,L1,-,-,429
予算一覧（予算構成）,一覧表示画面,2次,通信費,L1,-,-,430
予算一覧（予算構成）,一覧表示画面,2次,雑費,L1,-,-,431
予算一覧（予算構成）,一覧表示画面,2次,電気代,L1,-,-,432
予算一覧（予算構成）,一覧表示画面,2次,フード売上ランチ,L1,[外部]TITEM.sales_excluded,-,434
予算一覧（予算構成）,一覧表示画面,2次,フード売上ディナー,L1,[外部]TITEM.sales_excluded,-,435
予算一覧（予算構成）,一覧表示画面,2次,ドリンク売上ランチ,L1,[外部]TITEM.sales_excluded,-,436
予算一覧（予算構成）,一覧表示画面,2次,ドリンク売上ディナー,L1,[外部]TITEM.sales_excluded,-,437
予算一覧（予算構成）,一覧表示画面,2次,フード仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,438
予算一覧（予算構成）,一覧表示画面,2次,ドリンク仕入,L1,[外部]infomart_transactions.total_tax_excluded,-,439
予算一覧（予算構成）,一覧表示画面,2次,固定人件費,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,440
予算一覧（予算構成）,一覧表示画面,2次,PA人件費,L1,[外部]head_office_employee_working_records.daily_cost,-,441
予算一覧（予算構成）,一覧表示画面,2次,地代家賃,L1,-,-,443
予算一覧（予算構成）,一覧表示画面,2次,資材費,L1,-,-,444
予算一覧（予算構成）,一覧表示画面,2次,減価償却費,L1,-,-,445
予算一覧（予算構成）,一覧表示画面,2次,ｸﾚｼﾞｯﾄ手数料,L1,-,-,446
予算一覧（予算構成）,一覧表示画面,2次,メニューコピー,L1,-,-,446a
予算一覧（予算構成）,一覧表示画面,2次,租税公課,L1,-,-,446b
予算一覧（予算構成）,一覧表示画面,2次,接待交際費,L1,-,-,446c
予算一覧（予算構成）,一覧表示画面,2次,旅費交通費,L1,-,-,446d
予算一覧（予算構成）,一覧表示画面,2次,会議費,L1,-,-,446e
予算一覧（予算構成）,一覧表示画面,2次,図書教育費,L1,-,-,446f
予算一覧（予算構成）,一覧表示画面,2次,研修費,L1,-,-,446g
予算一覧（予算構成）,一覧表示画面,2次,業態研究費,L1,-,-,446h
予算一覧（予算構成）,一覧表示画面,2次,採用費,L1,-,-,446i
予算一覧（予算構成）,一覧表示画面,3次,FLコスト 計,L2-S,-,-,412
予算一覧（予算構成）,一覧表示画面,3次,営業利益,L2-S,-,-,433
予算一覧（予算構成）,一覧表示画面,4次,ヘルプ人件費,L3-S,月次予算設定.ヘルプ人件費予算,-,442
予算一覧（予算構成）,一覧表示画面,5次,予算達成率の変動トレンド,L4(提案),ヘルプ人件費,【経営判断用】月次の達成率推移で予算管理状況を把握 / 概念式: 予算対比率_* の月次変動,提案
予算一覧（予算設定値）,一覧表示画面,2次,月次目標利益,L1,月次予算設定.目標月次利益,-,447
予算一覧（予算設定値）,一覧表示画面,2次,目標FD仕入費率,L1,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,448
予算一覧（予算設定値）,一覧表示画面,2次,目標PA人件費率,L1,[入力]monthly_budgets.food_cost_rate（またはlabor_cost_rate）,-,449
予算一覧（予算設定値）,一覧表示画面,2次,目標客単価,L1,月次予算設定.目標客単価（税抜）,-,450
商品仕入単価,一覧表示画面,2次,アイテム,L1,[外部]detail_list.item_name,-,451
商品仕入単価,一覧表示画面,2次,金額（税抜）,L1,[外部]detail_list.price,-,452
商品仕入単価,一覧表示画面,2次,数量,L1,[外部]detail_list.num,-,453
商品仕入単価,一覧表示画面,3次,単価,L2-S,商品仕入単価.数量,-,454
棚卸詳細,一覧表示画面,1次,カテゴリ,L0,-,-,456
棚卸詳細,一覧表示画面,3次,実施日,L2-S,-,-,455
棚卸詳細,一覧表示画面,3次,在庫数量,L2-S,-,-,457
棚卸詳細,一覧表示画面,3次,商品単価,L2-S,-,-,458
棚卸詳細,一覧表示画面,3次,小計,L2-S,-,-,459
発注書一覧,一覧表示画面,3次,発注ID,L2-S,発注書作成.発注ID,-,737
発注書一覧,一覧表示画面,3次,発注日時,L2-S,発注書作成.作成日時,-,738
発注書一覧,一覧表示画面,3次,ステータス,L2-S,発注書作成.ステータス,-,739
発注書一覧,一覧表示画面,3次,発注先,L2-S,発注書作成.発注先名,-,740
発注書一覧,一覧表示画面,3次,納品希望日,L2-S,発注書作成.納品希望日,-,741
発注書一覧,一覧表示画面,3次,発注書画像,L2-S,ユーザー撮影,-,742
納品書一覧,一覧表示画面,3次,納品書ID,L2-S,納品書撮影.納品書ID,-,752
納品書一覧,一覧表示画面,3次,納品日,L2-S,納品書撮影.納品日,-,753
納品書一覧,一覧表示画面,3次,登録状況,L2-S,納品書撮影.ステータス,-,754
納品書一覧,一覧表示画面,3次,納品書画像,L2-S,納品書撮影.納品書画像,-,755
納品書管理,一覧表示画面,1次,店舗名,L0,-,-,463
納品書管理,一覧表示画面,3次,納品書ID,L2-S,ラクミーアプリ.納品書撮影（登録）,-,460
納品書管理,一覧表示画面,3次,受付日時,L2-S,ラクミーアプリ.納品書撮影（登録）,-,461
納品書管理,一覧表示画面,3次,納品日,L2-S,ラクミーアプリ.納品書撮影（登録）,-,462
納品書管理,一覧表示画面,3次,処理ステータス,L2-S,ラクミーアプリ.納品書撮影（登録）,-,464
納品書管理,一覧表示画面,3次,発注先,L2-S,ラクミーアプリ.納品書撮影（登録）,-,465
納品書詳細,一覧表示画面,3次,納品書ID,L2-S,ラクミーアプリ.納品書撮影（登録）,-,466
納品書詳細,一覧表示画面,3次,発注者,L2-S,ラクミーアプリ.納品書撮影（登録）,-,467
納品書詳細,一覧表示画面,3次,受注者,L2-S,ラクミーアプリ.納品書撮影（登録）,-,468
納品書詳細,一覧表示画面,3次,処理ステータス,L2-S,ラクミーアプリ.納品書撮影（登録）,-,469
納品書詳細,一覧表示画面,3次,納品日,L2-S,ラクミーアプリ.納品書撮影（登録）,-,470
主要KPI指標,ダッシュボード表示画面,4次,坪月商,L3-S,当月実績.売上（税抜）,-,471
主要KPI指標,ダッシュボード表示画面,4次,営業利益率,L3-S,"当月実績.営業利益, 当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,472
主要KPI指標,ダッシュボード表示画面,4次,家賃比率,L3-S,当月実績.売上（税抜）,-,473
主要KPI指標,ダッシュボード表示画面,4次,ROI,L3-S,当月実績.営業利益,-,474
主要KPI指標,ダッシュボード表示画面,5次,総合パフォーマンススコア,L4(提案),坪月商; 営業利益率; 家賃比率,【KPI用】複数KPIの重み付け合成スコア（売上×利益率×客数） / 概念式: 主要指標の加重平均,提案
主要KPI指標,ダッシュボード表示画面,5次,異常検知フラグ,L4(提案),坪月商; 営業利益率; 家賃比率,【異常検知用】閾値超過時にアラート表示 / 概念式: 指標 > 閾値 or < 閾値,提案
年間予実対比（サマリー）,ダッシュボード表示画面,2次,FD仕入額,L1,[外部]infomart_transactions.total_tax_excluded,-,478
年間予実対比（サマリー）,ダッシュボード表示画面,2次,人件費額,L1,[外部]head_office_connected_service_labor_costs_logs.labor_costs,-,479
年間予実対比（サマリー）,ダッシュボード表示画面,4次,客単価（ランチ）,L3-S,"時間帯別売上分析.ランチ売上（税抜）, 時間帯別売上分析.客数",-,475
年間予実対比（サマリー）,ダッシュボード表示画面,4次,客単価（ディナー）,L3-S,"時間帯別売上分析.ディナー売上（税抜）, 時間帯別売上分析.客数",-,476
年間予実対比（サマリー）,ダッシュボード表示画面,4次,営業利益,L3-S,"当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,477
年間予実対比（サマリー）,ダッシュボード表示画面,4次,客単価,L3-S,"当月実績.売上（税抜）, 感度分析.客数",-,480
年間予実対比（サマリー）,ダッシュボード表示画面,5次,年次成長トレンド指標,L4(提案),客単価（ランチ）; 客単価（ディナー）; 営業利益,【予測用】年間実績の前年同月比からの成長率 / 概念式: 年間実績_* / 前年同期比,提案
年間予実対比（サマリー）,ダッシュボード表示画面,5次,年間予算達成進捗の加速率,L4(提案),客単価（ランチ）; 客単価（ディナー）; 営業利益,【経営判断用】予算達成ペースの変化（加速/減速） / 概念式: 年間予算対比率_* (前月比),提案
店舗別サマリー,ダッシュボード表示画面,2次,売上目標,L1,月次予算設定.売上（税抜）,-,481
店舗別サマリー,ダッシュボード表示画面,2次,売上（税抜）,L1,[外部]ZTOTAL.sales_excluded,-,484
店舗別サマリー,ダッシュボード表示画面,3次,売上進捗率,L2-S,"店舗別サマリー.売上（税抜）, 店舗別サマリー.売上目標",-,485
店舗別サマリー,ダッシュボード表示画面,4次,売上達成率,L3-S,店舗別サマリー.売上（税抜）,-,482
店舗別サマリー,ダッシュボード表示画面,4次,営業利益,L3-S,"店舗別サマリー.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,483
店舗別サマリー,ダッシュボード表示画面,4次,FD仕入率,L3-S,"予実対比.FD仕入, 店舗別サマリー.売上（税抜）",-,486
店舗別サマリー,ダッシュボード表示画面,4次,人件費率,L3-S,"予実対比.人件費, 店舗別サマリー.売上（税抜）",-,487
店舗別サマリー,ダッシュボード表示画面,5次,総合パフォーマンススコア,L4(提案),売上達成率; 営業利益; FD仕入率,【KPI用】複数KPIの重み付け合成スコア（売上×利益率×客数） / 概念式: 主要指標の加重平均,提案
店舗別サマリー,ダッシュボード表示画面,5次,異常検知フラグ,L4(提案),売上達成率; 営業利益; FD仕入率,【異常検知用】閾値超過時にアラート表示 / 概念式: 指標 > 閾値 or < 閾値,提案
当月実績,ダッシュボード表示画面,2次,売上（税抜）,L1,[外部]ZTOTAL.sales_excluded,-,489
当月実績,ダッシュボード表示画面,2次,営業利益予算,L1,月次予算設定.目標月次利益,-,493
当月実績,ダッシュボード表示画面,2次,売上予算,L1,月次予算設定.売上予算,-,495
当月実績,ダッシュボード表示画面,4次,営業利益,L3-S,"当月実績.売上（税抜）, 予実対比.FD仕入, 予実対比.人件費",-,488
当月実績,ダッシュボード表示画面,4次,FD仕入率,L3-S,"予実対比.FD仕入, 当月実績.売上（税抜）",-,490
当月実績,ダッシュボード表示画面,4次,人件費率,L3-S,"予実対比.人件費, 当月実績.売上（税抜）",-,491
当月実績,ダッシュボード表示画面,4次,FL率,L3-S,"予実対比.FD仕入, 予実対比.人件費, 当月実績.売上（税抜）",-,492
当月実績,ダッシュボード表示画面,4次,営業利益達成率,L3-S,"当月実績.営業利益, 当月実績.営業利益予算",-,494
当月実績,ダッシュボード表示画面,4次,売上達成率,L3-S,"当月実績.売上（税抜）, 当月実績.売上予算",-,496
当月実績,ダッシュボード表示画面,5次,総合パフォーマンススコア,L4(提案),営業利益; FD仕入率; 人件費率,【KPI用】複数KPIの重み付け合成スコア（売上×利益率×客数） / 概念式: 主要指標の加重平均,提案
当月実績,ダッシュボード表示画面,5次,異常検知フラグ,L4(提案),営業利益; FD仕入率; 人件費率,【異常検知用】閾値超過時にアラート表示 / 概念式: 指標 > 閾値 or < 閾値,提案
地代家賃設定,設定入力画面,1次,賃料体系,L0,-,-,P1
地代家賃設定,設定入力画面,1次,条件選択,L0,地代家賃設定.賃料体系,-,P2
地代家賃設定,設定入力画面,1次,段階数,L0,地代家賃設定.賃料体系,-,P3
地代家賃設定,設定入力画面,1次,固定賃料,L0,地代家賃設定.賃料体系,-,P4
地代家賃設定,設定入力画面,1次,歩合率,L0,地代家賃設定.賃料体系,-,P5
地代家賃設定,設定入力画面,1次,売上下限（1段目）,L0,地代家賃設定.段階数,-,P6
地代家賃設定,設定入力画面,1次,売上上限（1段目）,L0,地代家賃設定.段階数,-,P7
地代家賃設定,設定入力画面,1次,売上歩合率（1段目）,L0,地代家賃設定.段階数,-,P8
地代家賃設定,設定入力画面,1次,売上下限（2段目）,L0,地代家賃設定.売上上限（1段目）,-,P9
地代家賃設定,設定入力画面,1次,売上上限（2段目）,L0,地代家賃設定.段階数,-,P10
地代家賃設定,設定入力画面,1次,売上歩合率（2段目）,L0,地代家賃設定.段階数,-,P11
地代家賃設定,設定入力画面,1次,売上下限（3段目）,L0,地代家賃設定.売上上限（2段目）,-,P12
地代家賃設定,設定入力画面,1次,売上上限（3段目）,L0,地代家賃設定.上限なし,-,P13
地代家賃設定,設定入力画面,1次,売上歩合率（3段目）,L0,地代家賃設定.段階数,-,P14
地代家賃設定,設定入力画面,1次,上限なし（フラグ）,L0,-,-,P15
地代家賃設定,設定入力画面,1次,最低保証額,L0,地代家賃設定.賃料体系,-,P16
地代家賃設定,設定入力画面,1次,売上閾値,L0,地代家賃設定.賃料体系,-,P17
地代家賃設定,設定入力画面,1次,売上歩合対象率,L0,地代家賃設定.賃料体系,-,P18
地代家賃設定,設定入力画面,1次,適用開始日,L0,-,-,P19
地代家賃設定,設定入力画面,1次,月額売上予算（シミュレーション入力）,L0,-,-,P20
地代家賃設定,設定入力画面,2次,地代家賃シミュレーション金額,L1,"地代家賃設定.賃料体系, 地代家賃設定.固定賃料, 地代家賃設定.歩合率, 地代家賃設定.最低保証額, 地代家賃設定.月額売上予算（シミュレーション入力）",-,P21
費用実績入力,実績入力画面,1次,単月地代家賃,L0,-,-,R1
費用実績入力,実績入力画面,1次,固定人件費,L0,-,-,R2
費用実績入力,実績入力画面,1次,減価償却費,L0,-,-,R3
費用実績入力,実績入力画面,1次,資材費,L0,-,-,R4
費用実績入力,実績入力画面,1次,販売促進費,L0,-,-,R5
費用実績入力,実績入力画面,1次,メニューコピー,L0,-,-,R6
費用実績入力,実績入力画面,1次,調査費,L0,-,-,R7
費用実績入力,実績入力画面,1次,衛生費,L0,-,-,R8
費用実績入力,実績入力画面,1次,サービス費,L0,-,-,R9
費用実績入力,実績入力画面,1次,電気代,L0,-,-,R10
費用実績入力,実績入力画面,1次,ガス代,L0,-,-,R11
費用実績入力,実績入力画面,1次,水道代,L0,-,-,R12
費用実績入力,実績入力画面,1次,消耗品費,L0,-,-,R13
費用実績入力,実績入力画面,1次,保守修繕費,L0,-,-,R14
費用実績入力,実績入力画面,1次,租税公課,L0,-,-,R15
費用実績入力,実績入力画面,1次,接待交際費,L0,-,-,R16
費用実績入力,実績入力画面,1次,旅費交通費,L0,-,-,R17
費用実績入力,実績入力画面,1次,通信費,L0,-,-,R18
費用実績入力,実績入力画面,1次,ｸﾚｼﾞｯﾄ手数料,L0,-,-,R19
費用実績入力,実績入力画面,1次,支払手数料,L0,-,-,R20
費用実績入力,実績入力画面,1次,会議費,L0,-,-,R21
費用実績入力,実績入力画面,1次,諸会費,L0,-,-,R22
費用実績入力,実績入力画面,1次,図書教育費,L0,-,-,R23
費用実績入力,実績入力画面,1次,研修費,L0,-,-,R24
費用実績入力,実績入力画面,1次,業態研究費,L0,-,-,R25
費用実績入力,実績入力画面,1次,採用費,L0,-,-,R26
費用実績入力,実績入力画面,1次,IT費,L0,-,-,R27
費用実績入力,実績入力画面,1次,外注費,L0,-,-,R28
費用実績入力,実績入力画面,1次,雑費,L0,-,-,R29
